title,link,text,image
20th Anniversary for Reston Waste,https://www.restonwaste.co.uk/news/20th-anniversary-for-reston-waste/,"20th Anniversary for Reston Waste That’s right, this month at Reston Waste we’re celebrating a huge milestone for the company: 20 years of business!  We’re immensely proud of everything we ’ve achieved over the years, having been founded back in September 2001 by Andrew and Sharon Reston. In 1999 the pair started London Rubbish Clearance, before transforming into Reston Waste Management Limited two years later. Beginning with just one hired truck at that time – which Andrew drove while Sharon was the one-woman office force – we’ve now grown to a fleet of over 40 dealer-maintained trucks.
We serve commercial and domestic customers across London and the surrounding areas with three depots in Wimbledon, providing reliable and professional service when it comes to waste. Whether it’s skip hire, waste management or rubbish clearance, we’ve earned a reputation as one of the leading companies in the region through our hard work and industry knowledge.
2012 marked a huge stepping stone for the company, as we opened our own material recovery facility in Wimbledon. This facility processes over 75,000 tonnes of waste annually and operates around the clock to help divert 100% of the waste we receive away from landfill.
Most crucial to our continued success, however, is the people involved at Reston Waste. Our staff has expanded over the last two decades to a team of over 100-strong, and it’s these people who keep the business operating day in, day out at such high levels.
We want to thank our team and our customers for helping us reach this massive milestone – we look forward to celebrating many more years of success together.
",https://www.restonwaste.co.uk/wp-content/uploads/2021/09/reston-20-year-anniversary-1.png
How to Avoid Overloading a Skip?,https://www.restonwaste.co.uk/news/how-to-avoid-overloading-a-skip/,"How to Avoid Overloading a Skip?
Never fill a skip beyond its maximum load capacity. Not only could it land you a hefty fine, but it could also endanger the lives of others around you. In this article, discover some tips and tricks that will help you to fill your skip safely.  Why shouldn’t you overfill your skip?
If you’ve ever tried to hire a skip, you may have noticed that virtually every skip hire company enforces a strict no-overfill rule. We do this to protect you, our staff and others who may walk nearby. Here are some reasons why you should never overfill your skip: Objects can fall out and injure somebody
As any good jenga player knows, the higher you build your tower, the more likely it is to come crashing down. The same can be said for skips; the maximum capacity level is the highest point that your waste is stable. Beyond that, you risk objects falling out and causing injury. Even if they don’t directly hit anyone, fallen objects may damage property or block access points.
The skip is dangerous to transport It is extremely unsafe to remove and transport an overflowing skip. Almost every  skip hire company
will flat out refuse to move it, as they don’t want to endanger their staff. You will then be forced to reassemble the waste in your skip or hire a second one.
You will be fined
It is against the law to fill your skip above its maximum load level. If you are caught doing so, you could be hit with a hefty fine. Plus, you may face serious legal action if someone is injured by a falling object.
How high can you fill a skip? Every skip has bold red lines that indicate its maximum fill level. None of the waste you place in your skip should exceed this level. How to fill a skip?
You can save a lot of space by loading your skip methodically instead of mindlessly throwing everything in. The key is to deconstruct or flatten your items, separate them into categories, and then place each category into the skip in layers, aiming to fill every available space. Separate your waste into four categories: 
Flat items
– such as cardboard and paper
Tessellate objects
–  such as bricks and tiles
Bulky items
– such as furniture and appliances
Debris
– such as soil and sand
Begin with your flat items. Flatten them down as much as you can and then place them into your skip so that you cover the entire base. Once the first layer is complete, repeat with a second layer.
The same technique should be applied next for tessellated objects. Lay the items in layers to cover all available space. The tessellated items must go into the skip after the flat items, as the tessellated items will weigh the flat items down to create more space.
Bulky items must be deconstructed into their core parts, e.g. table legs should be removed from the tabletop. Once this is completed, lay your waste into the skip, once again in layers to fill all available space. Imagine this sequence like a game of tetris: identifying the optimal places to put various shapes so that every space is filled. Finally, pour debris into the skip to fill all remaining pockets of space. How to choose the right size of skip
Most skip hire companies offer skips in various sizes. It’s important you choose the right one for your project. Pick one that’s too small and you’ll end up overfilling it and need to hire another. Pick one that’s too large and you will have needlessly overpaid.
Our skip size guide  can help you identify the perfect skip for your needs. Are there alternatives to skip hire?
If you’re unsure which skip size you’ll need or are concerned about overloading, there are other options. Reston Waste offers domestic waste removals and rubbish collection for swift and efficient
clearance . Our team will visit your home and remove your waste then and there, with no skip involved. Skip hire,  waste removal  and  rubbish collection  are just some of the services we provide as  waste management
experts. No matter whether you’re undergoing a large commercial project or a simple flat clear out, we can help. With over 20 years of experience in the industry, we understand how to clear waste effectively. Whatever you need, whenever you need it — we’re here to help. Reston Waste serves customers throughout London. Contact our team today to find out how we can help you
",https://www.restonwaste.co.uk/wp-content/uploads/2020/12/overload-skip.jpg
House Clearance: What Size Skip Do I Need?,https://www.restonwaste.co.uk/news/house-clearance-what-size-skip-do-i-need/,"House Clearance: What Size Skip Do I Need?
Since we’re all spending a lot more time at home at the moment, you might be looking around and thinking that it’s a time for a change. Whether you’re planning on ripping out large fixtures and fittings or you simply want to clear out your possessions to make more room, skip hire is ideal for a house clearance.
The trouble is, what size skip is best for house clearances? You don’t want to order a skip too large and overpay, but at the same time, you don’t want to go too small and end up having to order another one – either way you end up paying more than you have to.
With this dilemma in mind, at Reston Waste, we’ve put together a quick and easy guide to getting the right skip for your house clearance project as well as some general advice.
What size skip do I need for a house clearance? At Reston Waste, we have a wide range of  skip sizes  to help you with your house clearance, here’s a full list of our sizes:  
4-yard skip
6-yard skip
8-yard skip
10-yard enclosed skip
12-yard skip
14-yard skip
Now you know the sizes we offer, how about a little bit of context? Let’s talk about the different kinds of house clearance projects our skips are good for. Starting off small with a clearing out of the attic or garage, maybe there are lots of boxes which simply need throwing away – including old magazines, books, clothes or scrap building materials. For this, we’d recommend a
4 or 6-yard skip , small, but effective with 5 and 8-tonne capacities respectively. Moving on, you might be clearing out the entirety of a room to make way for a renovation. Whether it’s your garage which you plan to convert and needs clearing or an update to a bedroom where pieces of furniture need clearing, our
8, 10 or 12-yard skips  can take your house clearance waste.  For bigger projects, perhaps where you’re clearing a house to be renovated or have large suites of kitchen furniture or bathroom fixtures to be thrown out, our
14-yard skip  is ideal. This allows you to take on light refurbishments or house clearance projects without having to worry about the disposal of your waste. What can go in a skip?
It’s important to know what can go in your skip so that you’re certain you’re disposing of your waste in the proper, responsible way. Papers and fabrics from garage and attic clearances are acceptable, as is any wooden furniture or metal and plastic from your plumbing if you’re carrying out larger renovations. If you’re getting rid of tiling as part of your renovations, we can take that waste as well.
What not to put in a skip
There will also be restricted materials which you won’t be able to throw in your skip as part of a house clearance, including things like chemicals, solvents and liquid waste you might have lying around in your garage. We’re also not able to take batteries, oils or tyres, as these should be taken to a local recycling centre for proper disposal. If you’re tackling a kitchen renovation project, please note we can’t take fridges, freezers or other electrical equipment. Asbestos is also not allowed to be taken as part of skip hire house clearance due to the hazardous nature of the material.
Alternatives to skip hire If you’re looking to get rid of waste without having to use a skip and want professional help, at Reston Waste we also offer a domestic  waste removal service . This service is perfect for light, bulky waste as we utilise a fleet of waste clearance vehicles to take your waste away promptly and efficiently.  Whichever service you decide you use for your house clearance project, you can have peace of mind knowing that we aim to recycle 100% of the waste we collect from you, minimising the impact your waste will have on the environment. We’ve been serving Wimbledon and the surrounding areas of London since 1998, so you can count on us when you need to clear your house of rubbish. Simply  contact our team  today to arrange the service you need or  order your skip  for house clearance online with our simple ordering system. 
",https://www.restonwaste.co.uk/wp-content/uploads/2020/11/clearing-house-1024x681.jpg
Covid-19 Statement,https://www.restonwaste.co.uk/news/covid-19-statement/,"Covid-19 Statement
As you will know, the Corona Virus situation in the UK continues to develop daily. We would like to assure our clients, suppliers, staff and the public in general that we are working hard to continue to deliver service while taking appropriate measures in these unprecedented times.
It seems likely that disruption will continue, but we endeavour to monitor this situation, including the messages from the Government. We’re holding regular meetings to discuss the impact this has on our operations as things progress.
As we are now in the ‘delay’ phase, we are taking steps to protect everyone at our sites – from staff to customers. Please work with us and follow instructions given on how to best tackle the issues at hand when visiting our site or taking delivery from us.
We have limited physical meetings and will be undertaking digital meetings to ensure all our operations can continue. As things stand, we’ve taken the decision to close our site on Saturdays temporarily, but are fully committed to working with you and provide undisrupted service for you and your business.
We’re asking all staff and customers to observe the two-metre social distancing policy, while also asking those who can work from home to do so. If you are affected by the virus we’d appreciate you contacting us to discuss how we can best continue to serve you. Likewise, if you need to alter the schedule of our service to you – changing delivery times or bringing work forward – we’d like to hear from you as soon as possible so we can assist you in the most effective way possible.
For the team here at Reston Waste, we continue with business-as-usual to ensure your operations see minimal impact. We hope that we can help our customers and our community at this time; please keep in touch if you have preventative measures in place at your business that we need to be aware of.
From everyone here at Reston Waste, we hope everyone stays safe and we look forward to working with you and supporting you. We thank you for your business and your patience, and we would also like to thanks all those working hard to limit the impact of the pandemic at hand.
",https://www.restonwaste.co.uk/wp-content/uploads/2020/03/Reston-Covid-19-Graphic_2-4.png
How to Stop Fly Tipping on Private Land,https://www.restonwaste.co.uk/news/how-to-stop-fly-tipping-on-private-land/,"How to Stop Fly Tipping on Private Land If someone fly tips on your land,  you are responsible for clearing it.   Becoming a victim of fly tipping can be a serious burden. After removing the fly-tipped waste and reporting the incident, it’s vital to take precautions to prevent it happening again. This article will explain the laws around fly tipping on private land, and how you can prevent fly tipping from happening on your property. What is fly tipping? Fly tipping is the illegal deposit of waste onto land that does not have a license to accept it. Fly tipping can contribute to an area appearing run down and unsafe. It may also spur others to dump waste in the same area, leading to a buildup of unsightly and hazardous waste. You can be imprisoned and fined up to £50,000 for fly tipping in the UK.  Fly tipping on private land law If waste has been dumped on your land, you will be responsible for the appropriate removal of the waste.  If you find waste on your property, follow these steps: 
Be cautious — some waste may be hazardous. We don’t recommend opening up bags or drums.
Record as many details about the incident as you can and photograph the waste. This will aid the investigation.
Report the incident through the
gov.uk website
Arrange for disposal of the waste with a registered waste carrier
Keep full details of your clearance and disposal, including documentation and cost.
Reporting fly tipping
Report the incident through the gov.uk website. If waste is dumped on public land, many local councils will launch an investigation and clear the waste free of charge. If the waste is hazardous, the Environmental Agency may step in to oversee the investigation. For private land, the council may charge you a fee to collect the waste. Many larger items are blacklisted and won’t be removed at all. For prompt, affordable removal of fly-tipped waste, we recommend using a waste disposal company.  Companies like Reston Waste offer  fly-tipping clearance  amongst a range of waste removal services. Professional companies can handle light and bulky waste, and will even  recycle  as much of it as possible. How to prevent fly tipping If someone has got away with fly tipping on your property, they are likely to reoffend. Prevent recurrence with these tips: 
Install barriers or gates
Install CCTV
Install motion-activated lights
Keep skips inaccessible to others
Check your insurance cover for fly tipping
Lock all gates and other entrances into your property
Fly tipping statistics The following statistics relate to a one year period between 2018 and 2019 in the UK: 
There were approximately 1 million fly tipping incidents dealt with by UK councils.
A third of all fly tipping incidents were equivalent to a ‘small van load’.
3% of incidents were ‘tipper lorry’ size. Just these incidents alone cost local authorities £12.9 million in clearance costs.
The most common place for fly tipping to occur is on roads.
 If you’ve fallen victim to fly tipping on private land, use an experienced  waste management  business for swift, hassle-free removal. The team at Reston Waste have over 20 years’ experience in waste management services, including  fly tipping clearance  for customers in Wimbledon and London. Utilising a dedicated fleet of vehicles, we can  remove waste  from your property, no matter the size. Plus, we aim to recycle as much of this waste as possible.  To enquire about our services,  get in touch with our team today . 
",https://www.restonwaste.co.uk/wp-content/uploads/2020/08/private-land-waste.jpg
January 2021 Lockdown Update,https://www.restonwaste.co.uk/news/january-2021-lockdown-update/,"January 2021 Lockdown Update
Business as usual!
In response to the latest government announcement of a third nationwide lockdown starting from the 5th January 2021, Reston Waste Management Limited are pleased to announce that we will be operating as normal for as long as there is customer demand for our services.
At the moment we are estimating the impact of this third lockdown to be less severe than the previous lockdowns, however, we are continuously monitoring the situation and should anything change we will respond appropriately.
The health and safety of our staff and customers is our highest priority and we have implemented a number of measures to reduce the risk of exposure. We have advised all employees to follow the measures recommended by UK public health agencies and also measures we feel to be appropriate to the situation.
These measures include (but aren’t limited to):
Frequently washing hands by using alcohol-based hand sanitiser or soap and water.
Covering the mouth and nose with elbow or tissue when coughing or sneezing and ensuring the tissue is thrown away immediately and hands are washed.
Anyone showing symptoms such as a fever, cough, feeling unwell or suspects they may have the infection will be asked to avoid contact with others and contact NHS services immediately.
COVID-secure signatures on all WTNs and paperwork.
Where possible all staff must keep a minimum of 2 metres distance at all times or wear a face covering if this isn’t possible.
Increased sanitation of all areas within our sites including staff desks, lorries and frequently touched surfaces etc.
We urge all customers and suppliers to avoid visiting our head office and conduct meetings online where possible. If a visit is deemed entirely necessary, temperature checks will be undertaken prior to entry to site and the above must be followed.
Here at Reston Waste we would like to thank you for your continued support and business through these difficult times. Please do not hesitate to
contact us
to discuss your
waste management
needs. We will be continuously monitoring the situation and if anything changes we will issue an update to all our customers and suppliers.
From all the staff here at Reston Waste Management we hope you stay safe and well.
",https://www.restonwaste.co.uk/wp-content/uploads/2021/01/2021-lockdown-update.png
Skip Permits Explained,https://www.restonwaste.co.uk/news/skip-permits-explained/,"Skip Permits Explained
Skip hire in Wimbledon and the wider London area is a great way to quickly and responsibly get rid of your waste. However, if you plan to have your skip placed outside your property on the road, you will need to get a permit from your local council.
Skip permits tend to be one thing which puts people off the idea of hiring a skip, but it’s not as complex as you might think. This month at Reston Waste, we’re going to talk you through
skip hire
permits, including when you need one, how much they cost and the alternatives – all with the aim of making it easier for you to dispose of your waste.
Do I need a permit for a skip?
An easy way to work out if you require a skip permit or not is to ask yourself where you’ll have the skip situated. If it’s on your driveway or placed in your garden, then you don’t need to do anything.
If, however, you need to have the skip placed on a road, even if you think it isn’t a frequently used road, you will no doubt require a permit so that the local authority is aware of it. You may even require a bay suspension in some circumstances.
If you’re not sure if you need a permit, you can speak to our team at Reston Waste and our skip permit team will be happy to provide you with advice and guidance on this matter.
How much does a skip permit cost?
Skip permit cost varies from council to council but you can usually expect to pay roughly £30. The amount of time you want to keep your skip on the road may also impact the cost, but only if you intend to keep it there for longer than usual.
Need Help With Your Skip Permit? Contact Us
Is there an alternative service if I can’t get a skip permit?
If you can’t have a skip placed on your property or outside on the road, don’t give up hope! There is still a way you can get rid of your waste in a responsible and swift manner. Our
wait and load skip service
means we’ll bring the skip to you, you can then fill it while we wait, giving you a 30-minute window. Once it’s filled or after the 30 minutes have elapsed, we’ll take the skip away to our
dedicated recycling facility . This service doesn’t require a skip hire permit from the council as it’s a rapid, tidy way for you to get rid of waste. Plus, you know your waste is being channelled to the right place, ready for recycling. We’re a licensed waste carrier and always aim to recycle 100% of your waste to avoid it going into landfill sites. Alternatively, our friendly team also offers a  rubbish collection  service using dedicated vehicles, meaning you can clear out your home or premises without the need to arrange a skip.  Our friendly team at Reston Waste is always on hand to help find which  waste management  service is suitable for you and have all the latest information you’ll need in regards to council skip permits in your area.  Call  0208 944 1349  today for assistance or use our online booking form to  order your skip . 
",https://www.restonwaste.co.uk/wp-content/uploads/2020/10/skip-permit-1024x497.jpeg
AFC Wimbledon Sponsorship Announcement,https://www.restonwaste.co.uk/news/afc-wimbledon-sponsorship-announcement/,"AFC Wimbledon Sponsorship Announcement
As AFC Wimbledon eye a historic return to their home turf on Plough Lane, here at Reston Waste, we’re excited to announce our sponsorship of the League One side.
In a deal for the ongoing sponsorship of scoreboards, matchday programmes and more, we’re proud to back The Dons going into the 2020/21 season as their digital partner.
Owner Andrew Reston said: “We are immensely proud and thrilled to be forming a partnership with AFC Wimbledon at such an exciting time for the club and the entire community. “We are a family business with two bases in Wimbledon and have a deep understanding of what the club’s return to Plough Lane signifies. “It’s the fans who have made this miracle happen, and we feel honoured to have this opportunity to be alongside them as they enter a brand-new era.” Our strong ties to the Wimbledon community means this is a match made in heaven. We hope you’ll join us in cheering Glyn Hodges and his team on as they chase promotion to the Championship, having already made a strong start in the Football League Trophy. AFC Wimbledon’s Commercial Director, Ivor Heller, said of the deal: “Reston are exactly the sort of company we want to work with. “They are a real local business, employing local people and serving the local community. That’s where the heart and soul of our club belongs, so this partnership is a perfect fit for everyone. “We very much look forward to working with them at such a historic time for our club.”     
",https://www.restonwaste.co.uk/wp-content/uploads/2020/09/Reston-Waste-Google-01-3-2-1024x768.png
Christmas Skip Hire Promotion,https://www.restonwaste.co.uk/news/christmas-skip-hire-promotion/,"Christmas Skip Hire Promotion
Are you planning a clear out over Christmas? Then you’re in luck. At Reston Waste, we’re offering £50 off our skip hire if you keep a skip over Christmas. That means whether you’re clearing out the old to make way for all the new things Santa brings, or you’re just using the time to tackle DIY projects, you can dispose of waste easily – and at a discount! Find out more about our Christmas skip hire offer by calling our team today or see our flyer for terms and conditions.  Contact us to order in time for Christmas
",https://www.restonwaste.co.uk/wp-content/uploads/2020/12/christmas-promotion-768x1024.jpg
The Problem of Fly Tipping & Illegal Waste Dumping and How it Costs Us All,https://www.restonwaste.co.uk/news/problem-fly-tipping-illegal-waste-dumping-costs/,"The Problem of Fly Tipping & Illegal Waste Dumping and How it Costs Us All
Most waste is relatively easy to get rid of in the UK, with councils offering comprehensive collection services for both rubbish and some recycling.
Although the exact services vary from council to council, everyone benefits from free collection as a result of paying their council tax.
But what happens when the amount of rubbish you have far exceeds your allowance? Or if you have bulky items which can’t be disposed of the normal way.
Fly tipping a sure fire way of destroying the appeal of a neighbourhood
Most individuals understand that it’s their responsibility to dispose of the rubbish in a moral and ethical manner, either by hiring a skip, or taking it to a recycling or refuse centre. For lots of larger items, you could even pay for a
waste management company
to get rid of it cleanly, efficiently and quickly.
Unfortunately there are a few individuals who are loathed to do the right thing, instead opting for the illegal option – and creating the problem of fly-tipping.
We take a closer look at fly tipping and illegal waste dumping and examine just why it’s so much of a problem, and how diligent members of the community end up paying the price.
What is fly tipping?
If you have heard the phrase but aren’t sure what it means, ‘fly tipping’ refers to the practice of dumping waste illegally.
Rather than using tips, skips or waste disposal companies, fly tippers simply dump their rubbish in a place where they hope they won’t be spotted. This might be in a neighbour’s yard, on the street or frequently out in the countryside.
The potential effects of this are nothing short of horrific.
The effect of fly-tipping
Depending on the type of rubbish and waste which is being dumped, there could be all kinds of harmful substances and materials which shouldn’t be out in the public.
Household goods may contain substances which could kill a wild animal if ingested, and no explanation is needed about the potential suffocation and strangulation dangers of plastic.
For larger items, there is a risk to children if they are inadvertently allowed to play near them. A big campaign was launched many years ago about removing the doors from fridges because of the huge risks to children becoming trapped.
And of course it’s not just the wildlife, the planet itself suffers too. Dumping a load of waste affects the ground and the local ecosystem on many different levels. As well as presenting a danger to animals, the earth could absorb toxins preventing future growth of greenery or even worse, permitting poisons to enter the plants, thus reaching even more insects and creatures.
Any community which suffers from fly tipping can quickly gather a bad reputation as being run-down, dirty and shabby. This reputation can be enhanced by what a pile of rubbish can attract. Rotting food and other materials can attract droves of flies as well as enticing rodents to collect in the area.
Rats are actually a fairly common occurrence but tend to keep away unless there’s a ready supply of food they can access. As disease-carrying animals they are one of the least-welcome pests and can be difficult to eliminate.
Fly tipping isn’t just an eyesore; it can actually present a very real danger to human health too.
The cost?
The Department for Environment, Food and Rural Affairs (DEFRA) estimates that it costs in the region of £4million every month for councils to deal with the nuisance of fly tipping. An extraordinary amount of money being wasted for no good reason.
Like the rest of the council’s budget, where does this money come from? That’s right, the local tax payer.
This means that members of the community who abide by the rules and pay their taxes end up footing the bill for those who are seeking to find a free way to dump their waste illegally.
The amount of money wasted clearing up fly tipping is excruciating, and could be put to far better use in communities, reducing the pressure on the budget.
For this reason, the Environment Agency provides a 24 hour hotline for individuals to report the problem of fly-tipping, or you can tell the police. Fly tipping is a crime that affects everyone, taking money out of your pocket and increasing the risk of disease.
Conclusion
Don’t be tempted to ignore the crime of fly tipping: it’s costing you money and could be pushing down the value of your home. Fly tipping and illegal waste dumping harms the environment, hurts our wildlife and brings vermin and potential disease to the area too.
There are so many easy waste disposal options to get rid of rubbish, there’s never any excuse for fly tipping.
If you’ve experienced the problem of fly-tipping on your land and you need help with the clear up, contact Reston Waste today for
fly-tipping clearance services
today.
",Not Found
